,CLAVE_MUNICIPIO,MUNICIPIO,CLAVE_ENTIDAD,ENTIDAD,M_LAT,M_LON
216,7,"BALLEZA, CHIHUAHUA",8,CHIHUAHUA,26.7000976,-106.49909542689167
217,8,"BATOPILAS DE MANUEL GÓMEZ MORÍN, CHIHUAHUA",8,CHIHUAHUA,,
218,9,"BOCOYNA, CHIHUAHUA",8,CHIHUAHUA,27.8147924,-107.55224033610281
219,10,"BUENAVENTURA, CHIHUAHUA",8,CHIHUAHUA,30.18890305,-107.09557406561053
220,11,"CAMARGO, CHIHUAHUA",8,CHIHUAHUA,28.0582028,-104.38010649057823
221,12,"CARICHÍ, CHIHUAHUA",8,CHIHUAHUA,27.7996706,-107.08184981927988
222,13,"CASAS GRANDES, CHIHUAHUA",8,CHIHUAHUA,30.20776175,-108.227753525723
223,14,"CORONADO, CHIHUAHUA",8,CHIHUAHUA,26.6718263,-104.87139795475159
224,15,"COYAME DEL SOTOL, CHIHUAHUA",8,CHIHUAHUA,29.73537805,-105.34475070657172
225,16,"LA CRUZ, CHIHUAHUA",8,CHIHUAHUA,27.9010043,-105.05248510437224
226,17,"CUAUHTÉMOC, CHIHUAHUA",8,CHIHUAHUA,28.4009579,-106.8665305
227,18,"CUSIHUIRIACHI, CHIHUAHUA",8,CHIHUAHUA,28.2076423,-106.93227097890235
228,19,"CHIHUAHUA, CHIHUAHUA",8,CHIHUAHUA,28.6368669,-106.076745
229,20,"CHÍNIPAS, CHIHUAHUA",8,CHIHUAHUA,27.39509965,-108.49555512781129
230,21,"DELICIAS, CHIHUAHUA",8,CHIHUAHUA,28.1909814,-105.469426
231,22,"DR. BELISARIO DOMÍNGUEZ, CHIHUAHUA",8,CHIHUAHUA,27.993311849999998,-106.53662304038647
232,23,"GALEANA, CHIHUAHUA",8,CHIHUAHUA,30.20906935,-107.58718305037779
233,24,"SANTA ISABEL, CHIHUAHUA",8,CHIHUAHUA,28.3053903,-106.34186843644216
234,25,"GÓMEZ FARÍAS, CHIHUAHUA",8,CHIHUAHUA,29.34672835,-107.73571238426425
235,26,"GRAN MORELOS, CHIHUAHUA",8,CHIHUAHUA,28.304098250000003,-106.60776483336421
236,27,"GUACHOCHI, CHIHUAHUA",8,CHIHUAHUA,27.1446687,-107.20530076991423
237,28,"GUADALUPE, CHIHUAHUA",8,CHIHUAHUA,30.87547,-105.72340400387385
238,29,"GUADALUPE Y CALVO, CHIHUAHUA",8,CHIHUAHUA,26.12378025,-106.90892339502926
239,30,"GUAZAPARES, CHIHUAHUA",8,CHIHUAHUA,27.371684350000002,-108.21305579403601
240,31,"GUERRERO, CHIHUAHUA",8,CHIHUAHUA,28.4546386,-107.52307902516048
241,32,"HIDALGO DEL PARRAL, CHIHUAHUA",8,CHIHUAHUA,26.9287164,-105.6674058
242,33,"HUEJOTITÁN, CHIHUAHUA",8,CHIHUAHUA,27.07475315,-106.08903337433185
243,34,"IGNACIO ZARAGOZA, CHIHUAHUA",8,CHIHUAHUA,29.73283275,-107.73068345560952
244,35,"JANOS, CHIHUAHUA",8,CHIHUAHUA,30.75862845,-108.45634322895717
245,36,"JIMÉNEZ, CHIHUAHUA",8,CHIHUAHUA,26.965662350000002,-104.36731073193901
246,37,"JUÁREZ, CHIHUAHUA",8,CHIHUAHUA,31.452227450000002,-106.44972558551015
247,38,"JULIMES, CHIHUAHUA",8,CHIHUAHUA,28.528476050000002,-105.09017647533291
248,39,"LÓPEZ, CHIHUAHUA",8,CHIHUAHUA,26.934908200000002,-105.05402743497146
249,40,"MADERA, CHIHUAHUA",8,CHIHUAHUA,29.34672835,-108.2943956723704
250,41,"MAGUARICHI, CHIHUAHUA",8,CHIHUAHUA,27.81920975,-107.95881915737311
251,42,"MANUEL BENAVIDES, CHIHUAHUA",8,CHIHUAHUA,28.92944385,-103.74155932306515
252,43,"MATACHÍ, CHIHUAHUA",8,CHIHUAHUA,28.815466,-107.72121070219697
253,44,"MATAMOROS, CHIHUAHUA",8,CHIHUAHUA,26.71201945,-105.54726534643655
254,45,"MEOQUI, CHIHUAHUA",8,CHIHUAHUA,28.358394150000002,-105.521525730494
255,46,"MORELOS, CHIHUAHUA",8,CHIHUAHUA,26.6718641,-107.677204
256,47,"MORIS, CHIHUAHUA",8,CHIHUAHUA,28.16515365,-108.75509917635549
257,48,"NAMIQUIPA, CHIHUAHUA",8,CHIHUAHUA,29.1625481,-107.3474386100736
258,49,"NONOAVA, CHIHUAHUA",8,CHIHUAHUA,27.4496427,-106.67261422702612
259,50,"NUEVO CASAS GRANDES, CHIHUAHUA",8,CHIHUAHUA,30.4154532,-107.9058804
260,51,"OCAMPO, CHIHUAHUA",8,CHIHUAHUA,28.1454905,-108.18103318394742
261,52,"OJINAGA, CHIHUAHUA",8,CHIHUAHUA,29.5654282,-104.4128523
262,53,"PRAXEDIS G. GUERRERO, CHIHUAHUA",8,CHIHUAHUA,31.248759999999997,-105.9211588648779
263,54,"RIVA PALACIO, CHIHUAHUA",8,CHIHUAHUA,28.8463271,-106.69906795020364
264,55,"ROSALES, CHIHUAHUA",8,CHIHUAHUA,28.2436845,-105.7182466442271
